Word,Importance
remarked,0.2623167987938334
mined,0.15020357292676023
vanity,0.13698880710307365
predator,0.1228882705630406
##real,0.12155385822113461
quinn,0.1213309917892348
##dah,0.11585649133141045
##ined,0.10325503519865159
##sma,0.10139801148501822
ominous,0.09960914570142705
stricken,0.09701683577629316
potent,0.09458012838265764
cups,0.09416527728083675
##kley,0.09215060844228333
renegade,0.08703543707799961
horrible,0.08669210595017392
##uring,0.08547688791512681
article,0.08498507796559267
owe,0.08455513143187637
frontier,0.08367287012465846
barracks,0.08366366788452272
receipts,0.08246106801646856
constituency,0.08111385777896059
fox,0.07950098471511767
##kim,0.07930881416313
360,0.07805432880534219
authentic,0.07694567825965418
athens,0.07656211519285963
##ici,0.07642345456590724
definitely,0.07637097966093802
arrangement,0.07611766753268097
nik,0.07514108193189156
wadi,0.07488142827544729
subdivisions,0.07350136792991487
coffin,0.07289121215015583
anchors,0.07238576517089125
error,0.07059663759219571
claire,0.06906182064324312
links,0.0687283223893974
##ager,0.06812783179593278
danny,0.06807496715121868
##brush,0.06768741113087819
hollis,0.0675689316167996
blades,0.06713857566433004
##max,0.06674798175762756
##sari,0.06590765221822954
baltic,0.06576466775747658
ballroom,0.0656140366900075
intricate,0.06556731294941741
rude,0.0650455280343155
secrets,0.0644714215632112
piled,0.06425310527783261
unaware,0.06371864226795697
tunisia,0.06207831707918837
cathedral,0.0617219283168561
av,0.061684012294591924
pretended,0.061434239693171105
florence,0.06124068719370661
##ans,0.059835235137067885
preached,0.05981568369188567
##ung,0.05949294653109788
russell,0.05920404762265171
solomon,0.059172701046179645
squeezed,0.059101240151627404
islam,0.05880651254977872
##lam,0.058619441946960726
panama,0.05833754302899809
calculations,0.058066719505061246
##cade,0.058061466846788055
blasting,0.05778763590306925
##bill,0.057771570137680854
paula,0.057472166626510536
ashley,0.05746948423491501
screamed,0.057447383800447636
terry,0.05719135386651669
crimea,0.057118329635072546
##hak,0.05661308451347754
impulse,0.056594303387323325
reuters,0.056485531039229556
humiliating,0.055648931252257804
qing,0.05514764929208423
disgusting,0.054822229040210384
##grating,0.054812209735651866
ralph,0.0542100440617764
##nes,0.05417315018468827
slapped,0.0536428827908607
crap,0.05360913629900566
click,0.05313037389715603
tipped,0.05309785985138156
transitions,0.05291139903595807
##iving,0.05206833713344248
enclave,0.051733317923733306
papacy,0.05158641806866557
proceeded,0.05147314719766414
##pit,0.051190631549610614
gm,0.05092407437175356
##lva,0.05032145721667923
penned,0.0500376749908652
commonwealth,0.04996162501277285
pathetic,0.04945917713131987
bears,0.048475350283718015
moon,0.04811985789866949
stockholm,0.047854625138839084
reminder,0.04675237536827102
inadvertently,0.046474377082882025
philanthropy,0.04643553586460307
##sian,0.0463976731781952
warnings,0.04635458013097717
showdown,0.04596930255751554
stray,0.04577709710716292
##iya,0.04574732137204822
struggled,0.045531414277352765
yahoo,0.04539163051661132
landing,0.04520527219588693
npr,0.04493667038109607
poker,0.044849526445088814
rebels,0.044813175362338795
az,0.04477490729656116
sneakers,0.044667163302582864
ina,0.04456532215532579
ample,0.04406550703480118
elaine,0.0440279031290135
occupies,0.04401840136071409
422,0.04400873795811257
woken,0.043918139896380576
##istle,0.04370537616880564
carrier,0.04348189033608759
rearview,0.04331140510864469
info,0.0432510556909817
cemetery,0.043071048675564765
profound,0.042849796654751485
##sul,0.042718332592726074
capt,0.04259256093278591
xvi,0.04258446662200124
operated,0.04257340379558028
##lies,0.042448346995127985
alarmed,0.042350864358848765
modelling,0.04228258494074586
kanye,0.04222674349311333
trader,0.04216058629822931
##cos,0.041956909872624994
gamble,0.04184326472138465
onion,0.04164158069879789
groundbreaking,0.04151871147634917
vision,0.04130716410409226
porn,0.04119489755289027
railways,0.04109071201304869
epithet,0.04101797485603611
presents,0.040985905098379634
##icia,0.04088289992815585
clutch,0.040791300924654564
fetch,0.040742602673874466
driving,0.04072740964078572
##icio,0.0406487528574321
stationed,0.04064741771518922
tin,0.04046887682040708
distinctions,0.040461493556623276
piracy,0.04026563836949181
warp,0.04024056795759726
2007,0.04022584394508242
rampage,0.039917312614245595
##top,0.039827321058118426
laughs,0.03982433339058506
willie,0.03980704653560646
confiscated,0.03977921942468086
##nya,0.039776103537841355
berlin,0.039758489249452786
unhappy,0.03962809474815254
unfinished,0.0396111891387119
bs,0.039536943185812586
##gative,0.03943900558799473
exceeding,0.039108059267640216
improvised,0.03898247709306751
ap,0.03896038134106022
reinforced,0.038636515914982315
estonia,0.03846749692579804
sharma,0.0384671861166689
transplant,0.03845288842055353
##bari,0.03827492924307393
cowboy,0.03826263156920697
predictions,0.03825202616743349
##mbo,0.03810304904953384
crab,0.03800106371035902
##ther,0.03771263003389119
##ume,0.0376392429969077
anytime,0.03757270828471999
materialized,0.03757067903872765
##lia,0.03757026691838272
sac,0.037540427744010306
mastery,0.03727896136413314
tho,0.03725212042279916
lately,0.03718384765624394
championship,0.03699782644122225
physician,0.03696824336457748
granite,0.0368930831742248
stomach,0.03675198569121599
horton,0.036607229439109094
hometown,0.036596585720896226
murderers,0.036503682769415756
socialism,0.03640395613593738
uss,0.036370318166369646
trap,0.03630146422418743
boil,0.03613251693136983
chilling,0.03602472831628679
##nov,0.036008468993808815
grandmother,0.03600806068745528
##mot,0.03594642692498367
hamburger,0.035907100425875076
##cliffe,0.0358109828922088
fractured,0.0357812387023055
##chester,0.035758261873756934
africa,0.0357346540495128
12th,0.03570389588534646
mock,0.03568175982604546
##che,0.035648848741006364
facilitate,0.03548972412777336
branding,0.035406471577424825
caller,0.03537610745414843
