Word,Importance
rs,0.17147867876454548
ap,0.09720592643056834
illustrating,0.08788120241173705
towering,0.085399307162306
112,0.08346828676049962
##rly,0.0819922423688721
floats,0.08149994530660833
cnn,0.08100799896348079
scared,0.0787227446359284
hawks,0.07810322214234373
profoundly,0.07663060551902925
##dded,0.07586997460014426
creates,0.07429042171295931
##tha,0.07378381354591673
brutally,0.07269950191651572
doc,0.07157765683457641
npr,0.06991183227628657
startled,0.06931444160441878
pilgrimage,0.0692533019094007
stumbled,0.06773531309120578
disgusted,0.06705727936593035
apartment,0.06557307299735246
painfully,0.06534995816547896
humming,0.06482874345667809
choke,0.06354966625180274
gigantic,0.06324851423803242
jp,0.06322081490438997
tainted,0.06183696919618022
ark,0.06063433626907014
invite,0.06062759285578523
usher,0.06026574404593628
##mus,0.05815580089947088
seeming,0.05799394332456429
reuters,0.057838912959716264
rocked,0.057760657569969925
wildly,0.057467388969130104
reflective,0.056776879581514235
depended,0.056477770732965026
##erton,0.05553361142806959
##bag,0.05536322850176452
darkened,0.05471828163362191
colossal,0.05433499703055973
spanning,0.05419582975161953
urgent,0.05418976447781829
doomed,0.053941643429503694
peculiar,0.053498297016117816
##ip,0.05328314073909651
info,0.05235087837299246
entrepreneurs,0.051971455903032066
regulations,0.05158258702850878
sandra,0.05157695212373068
thread,0.051560492040868385
unwilling,0.05090027411787602
flaming,0.05086796505725001
murdered,0.05073476764724902
ignored,0.0507068759619253
investor,0.050612879345804045
saint,0.050539446670389454
famed,0.05041268396382681
##rel,0.05017059796660397
impressive,0.05010439499794528
ribs,0.04954446499066336
televised,0.04950333730033594
abruptly,0.04936381544001371
tackles,0.04935996389663031
consolidated,0.04907893433614659
quinn,0.048960229079060384
seemingly,0.04895036193066735
perspectives,0.04879147968197911
facilitated,0.048533622584841965
archbishop,0.048478413894305794
##uded,0.048441936847313474
roaring,0.04829053899393013
lou,0.04815631878317144
pushes,0.04807499200150708
vows,0.047589133320250346
admission,0.047547781390604
streak,0.047430570229914155
epic,0.04735658770434543
mountain,0.04715142894502437
rocking,0.047144742506961
contractors,0.04704356302629825
